city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
lahore,8.35 Crore,"DHA Phase 6 - Block B, DHA Phase 6",6.0,7.0,1 Kanal,"Dream 1 Kanal Home Near Dolman Mall, Park & Mosque Prime location of DHA phase 6 B",83500000.0,20.0,DHA Phase 6 - Block B,DHA Phase 6,4175000.0
lahore,2.45 Crore,"DHA 9 Town - Block A, DHA 9 Town",4.0,5.0,5 Marla,EXTRA LAND WITH FOUR BEDROOMS NEAR PARK MOSQUE AND EASY APPROCH THROUGH MAIN ROAD FIVE MINUTE DRIVE FROM DOLMEN MALL,24500000.0,5.0,DHA 9 Town - Block A,DHA 9 Town,4900000.0
lahore,2.65 Crore,"DHA Phase 6, DHA Defence",4.0,5.0,5 Marla,FULL BASEMENT VILLA IS FOR SALE,26500000.0,5.0,DHA Phase 6,DHA Defence,5300000.0
lahore,2.15 Crore,"DHA 9 Town - Block C, DHA 9 Town",4.0,6.0,5 Marla,Brand New 5 Marla Designer Villa Near Park &Amp; Boulevard Easy Approach Through Main Road 5 Minute Drive From Dolmen Mall,21500000.0,5.0,DHA 9 Town - Block C,DHA 9 Town,4300000.0
lahore,2.6 Crore,"DHA 9 Town - Block C, DHA 9 Town",3.0,4.0,5 Marla,With Swimming Pool Brand New 5-Marla Modern Marvel Elegant Bungalow For Sale At Super Hot Location,26000000.0,5.0,DHA 9 Town - Block C,DHA 9 Town,5200000.0
lahore,9.5 Crore,"Valencia Housing Society, Lahore",5.0,6.0,1.1 Kanal,22 Marla Brand New Super Luxury Spanish Banglow For Sale In Valencia Town,95000000.0,22.0,Valencia Housing Society,Lahore,4318181.82
lahore,2.5 Crore,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",3.0,4.0,5 Marla,5 Marla Brand New Super Luxury Ultra Modern Design House For Sale In DHA Rahbar,25000000.0,5.0,DHA 11 Rahbar Phase 2,DHA 11 Rahbar,5000000.0
lahore,2.6 Crore,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",3.0,4.0,5 Marla,5 Marla Brand New Super Luxury Ultra Modern Designer House For Sale In DHA Rahbar,26000000.0,5.0,DHA 11 Rahbar Phase 2,DHA 11 Rahbar,5200000.0
lahore,7.55 Crore,"DHA Phase 7, DHA Defence",5.0,6.0,1 Kanal,1 KANAL BRAND NEW ULTRA MODERN DESIGN HOUSE FOR SALE IN DHA PHASE 7 NEAR DEFFENCE RAYA,75500000.0,20.0,DHA Phase 7,DHA Defence,3775000.0
lahore,7.25 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",5.0,6.0,1 Kanal,1 Kanal Brand New Modern Ultra Luxury Supreme Location House In Phase 7 DHA Lahore,72500000.0,20.0,DHA Phase 7 - Block Y,DHA Phase 7,3625000.0
lahore,4.6 Crore,"Eden City - Block A, Eden City",5.0,6.0,10 Marla,10 Marla Full Basement 5 Bed Full Basement Bungalow For Sale At Hot Location,46000000.0,10.0,Eden City - Block A,Eden City,4600000.0
lahore,4.5 Crore,"DHA Phase 7, DHA Defence",4.0,5.0,10 Marla,70 Feet Road 10-Marla Ultra Modern Bungalow For Sale At Top Location Near Raya,45000000.0,10.0,DHA Phase 7,DHA Defence,4500000.0
lahore,2.4 Crore,"Penta Square By DHA Lahore, DHA Phase 5",1.0,1.0,2.2 Marla,A Luxury Studio Apartment Available For Sale in Phase 5 Penta Square,24000000.0,2.2,Penta Square By DHA Lahore,DHA Phase 5,10909090.91
lahore,12.25 Crore,"DHA Phase 7, DHA Defence",2.0,3.0,4 Kanal,"FULLY FURNISHED 4 KANAL SPANISH STYLE FARMHOUSE WITH POOL, GAZEBO WITH HUGE GARDEN AND EXPENSIVE PLANTS.",122500000.0,80.0,DHA Phase 7,DHA Defence,1531250.0
lahore,6.75 Crore,"IEP Engineers Town, Lahore",6.0,6.0,1 Kanal,1 Kanal Luxury Designer House Is Up For Sale,67500000.0,20.0,IEP Engineers Town,Lahore,3375000.0
lahore,2.3 Crore,"DHA 9 Town - Block A, DHA 9 Town",3.0,4.0,5 Marla,"Brand New 5 Marla Designer House for Sale in DHA Phase 9 Town | 50ft Road, Prime Location",23000000.0,5.0,DHA 9 Town - Block A,DHA 9 Town,4600000.0
lahore,8.49 Crore,"DHA Phase 6, DHA Defence",5.0,6.0,1 Kanal,100% Original Deal | Ultra Top Notch 1 Kanal Brand New Bungalow | Swimming Pool | Near Dolmen Mall & Park | 15 KV Solar Installed | Roof Top | Prime Location DHA Phase 6,84900000.0,20.0,DHA Phase 6,DHA Defence,4245000.0
lahore,7.25 Crore,"DHA Phase 7 - Block S, DHA Phase 7",5.0,6.0,1 Kanal,100% ORIGNAL Kanal Modern Design Fully Furnished Dream Villa Available For Sale At Hot Location Near Raya Commercial Phase 7 Block S DHA Lahore,72500000.0,20.0,DHA Phase 7 - Block S,DHA Phase 7,3625000.0
lahore,60 Lakh,"Bahria Town - Sector E, Bahria Town",2.0,2.0,3.3 Marla,READY TO MOVE 2 BED APARTMENT ON 1 YEAR INSTALMENT PLAN,6000000.0,3.3,Bahria Town - Sector E,Bahria Town,1818181.82
lahore,3 Crore,"Al Hafeez Garden - Phase 5, Al Hafeez Gardens",4.0,5.0,5 Marla,5 Marla Brand New Half Triple Storey House For Sale With Bbq Rooftop In AL Hafeez Garden Phase 5 Canal Road Lahore,30000000.0,5.0,Al Hafeez Garden - Phase 5,Al Hafeez Gardens,6000000.0
