city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
islamabad,9.1 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,1 Kanal Luxury House For Sale in DHA Phase 2 Islamabad,91000000.0,20.0,DHA Defence Phase 2,DHA Defence,4550000.0
islamabad,1.4 Crore,"The Galleria, Bahria Enclave",3.0,3.0,7.5 Marla,The Galleria 3 Bed Apartment 1695 Square Feet Brand New on 3rd Floor Sun facing Available for Sale,14000000.0,7.5,The Galleria,Bahria Enclave,1866666.67
islamabad,11 Crore,"D-12/3, D-12",7.0,7.0,8 Marla,8 Marla House For Sale In D-12/3,110000000.0,8.0,D-12/3,D-12,13750000.0
islamabad,2.35 Crore,"Faisal Town - F-18, Islamabad",4.0,4.0,5 Marla,5 Marla House Faisal Town For Sale,23500000.0,5.0,Faisal Town - F-18,Islamabad,4700000.0
islamabad,14.5 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,"RAK PROPERTIES OFFERS 1 KANAL CORNER SINGLE UNIT HOUSE DHA PHASE 2, ISLAMABAD 14.50 CRORES DEMAND",145000000.0,20.0,DHA Defence Phase 2,DHA Defence,7250000.0
islamabad,40 Crore,"F-8, Islamabad",5.0,5.0,2 Kanal,1000 Sqyrds Corner House For Sale,400000000.0,40.0,F-8,Islamabad,10000000.0
islamabad,8.95 Crore,"G-9/1, G-9",5.0,4.0,14 Marla,G9/1 40/80 House Available For Sale CDA Transfer,89500000.0,14.0,G-9/1,G-9,6392857.14
islamabad,70.95 Lakh,"Margalla View Housing Society, D-17",1.0,1.0,2.1 Marla,473 Square Feet Flat For sale In Margalla View Housing Society Islamabad,7095000.0,2.1,Margalla View Housing Society,D-17,3378571.43
islamabad,6.2 Crore,"D-17, Islamabad",8.0,6.0,1 Kanal,1 Kanal Double Storey With Basement House For Sale In D17 Islamabad,62000000.0,20.0,D-17,Islamabad,3100000.0
islamabad,3.45 Crore,"B-17, Islamabad",6.0,5.0,7 Marla,Luxury 07 Marla Double Road Designer House For Sale In B17,34500000.0,7.0,B-17,Islamabad,4928571.43
islamabad,2.3 Crore,"Mall of Imarat, Jinnah Gardens",1.0,1.0,4 Marla,899 Square Feet Flat For Sale In Mall Of Imarat Islamabad,23000000.0,4.0,Mall of Imarat,Jinnah Gardens,5750000.0
islamabad,2.35 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3.0,5.0,5 Marla,Sector N 5 Marla Brand New House Excellent Construction Quality Sun facing House Available for Sale,23500000.0,5.0,Bahria Enclave - Sector N,Bahria Enclave,4700000.0
islamabad,65.8 Lakh,"H-13, Islamabad",1.0,1.0,2.1 Marla,"Manal Heights Studio Apartments for Sale | Prime Location Near NUST University, Islamabad Ideal Investment Opportunity",6580000.0,2.1,H-13,Islamabad,3133333.33
islamabad,1.45 Crore,"Multi Residencia & Orchards, Islamabad",3.0,3.0,5 Marla,5 Marla House In Multi Ochrard Residence Islamabad,14500000.0,5.0,Multi Residencia & Orchards,Islamabad,2900000.0
islamabad,6.75 Crore,"G-13, Islamabad",4.0,5.0,7 Marla,G-13 30x60 Brand New Double Storey House Available,67500000.0,7.0,G-13,Islamabad,9642857.14
islamabad,50 Lakh,"H-13, Islamabad",1.0,1.0,1.9 Marla,Prime Location 1 Bed Flat For Sale In Sector H-13 Islamabad,5000000.0,1.9,H-13,Islamabad,2631578.95
islamabad,12.5 Crore,"G-13, Islamabad",6.0,6.0,14 Marla,G-13 40x80 Brand New Double Story House Available,125000000.0,14.0,G-13,Islamabad,8928571.43
islamabad,3.65 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",5.0,6.0,8 Marla,Top Notch Location 2nd To Main Double Road House For Sale,36500000.0,8.0,MPCHS - Block C,MPCHS - Multi Gardens,4562500.0
islamabad,5.15 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",6.0,6.0,10 Marla,Brand New Double Storey House At 60ft Road,51500000.0,10.0,MPCHS - Block C1,MPCHS - Multi Gardens,5150000.0
islamabad,1.35 Crore,"Ghauri Town Phase 4 C2, Ghauri Town",4.0,4.0,5 Marla,Gas Wala Ghar,13500000.0,5.0,Ghauri Town Phase 4 C2,Ghauri Town,2700000.0
islamabad,6.6 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Get Your One Kanal House on Installments in Prime Location Of DHA ISLAMABAD,66000000.0,20.0,DHA Defence Phase 2,DHA Defence,3300000.0
islamabad,6.6 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Get Your One Kanal House on Installments in Prime Location Of DHA ISLAMABAD,66000000.0,20.0,DHA Defence Phase 2,DHA Defence,3300000.0
islamabad,17.5 Crore,"F-10/4, F-10",5.0,5.0,1 Kanal,Newly Renovated House for Sale F-10/4 Islamabad Ideal Lovation,175000000.0,20.0,F-10/4,F-10,8750000.0
islamabad,2 Crore,"Smama Star Mall & Residency, Gulberg Greens",3.0,3.0,5.5 Marla,3 BHK FULLY FURNISHED APARTMENT | CORNER + MARGALLA FACING | 1236 sqft,20000000.0,5.5,Smama Star Mall & Residency,Gulberg Greens,3636363.64
islamabad,3.15 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5.0,6.0,7 Marla,7 MARLA BRAND NEW DOUBLE UNIT HOUSE CDA LOP APPROVED PRIME LOCATION,31500000.0,7.0,Jinnah Gardens Phase 1,Jinnah Gardens,4500000.0
islamabad,16 Crore,"DHA Defence Phase 5, DHA Defence",4.0,6.0,2.5 Kanal,Brand New House Available For Sale DHA 5,160000000.0,50.0,DHA Defence Phase 5,DHA Defence,3200000.0
islamabad,20 Crore,"DHA Defence Phase 1, DHA Defence",10.0,6.0,2 Kanal,2 Kanal With Basement Height Location Owner Built House,200000000.0,40.0,DHA Defence Phase 1,DHA Defence,5000000.0
islamabad,55 Crore,"F-7, Islamabad",11.0,7.0,1 Kanal,Brand New Luxury House For Sale In F7,550000000.0,20.0,F-7,Islamabad,27500000.0
islamabad,11.7 Crore,"D-12/4, D-12",6.0,6.0,10 Marla,Prime Location D-12/4 House Sized 10 Marla,117000000.0,10.0,D-12/4,D-12,11700000.0
islamabad,4 Crore,"Gulberg Residencia - Block L, Gulberg Residencia",5.0,6.0,8 Marla,7 Marla Facing Park Brand New House For Sale,40000000.0,8.0,Gulberg Residencia - Block L,Gulberg Residencia,5000000.0
islamabad,1.3 Crore,"D-17, Islamabad",2.0,2.0,5.3 Marla,2 Bed Luxury Apartment For Sale In D-17/2 Islamabad,13000000.0,5.3,D-17,Islamabad,2452830.19
islamabad,4.35 Crore,"G-13, Islamabad",4.0,5.0,4.4 Marla,BRAND NEW DOUBLE STOREY LUXURY DESIGNER HOUSE FOR SALE IN IDEAL LOCATION OF ISLAMABAD,43500000.0,4.4,G-13,Islamabad,9886363.64
islamabad,1.1 Crore,"Al-Ghurair Giga, DHA Defence Phase 2",2.0,2.0,4.2 Marla,Elcielo B 2Bed Appartment Available For Sale,11000000.0,4.2,Al-Ghurair Giga,DHA Defence Phase 2,2619047.62
islamabad,2.95 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",4.0,5.0,8 Marla,Brand New Solid Constructed CDA LOP Clear House In Jinnah Garden Phase 1 Islamabad,29500000.0,8.0,Jinnah Gardens Phase 1,Jinnah Gardens,3687500.0
islamabad,1.45 Crore,"Khudadad Heights, E-11/2",3.0,3.0,10 Marla,Buying A Flat In Khudadad Heights Islamabad?,14500000.0,10.0,Khudadad Heights,E-11/2,1450000.0
islamabad,1.4 Crore,"The Galleria, Bahria Enclave",3.0,4.0,7.5 Marla,The Galleria 3 Bed Gold Category Apartment Semi Furnished 1695 Sq/Ft Sun Facing Available For Sale,14000000.0,7.5,The Galleria,Bahria Enclave,1866666.67
islamabad,9 Crore,"G-11/1, G-11",3.0,3.0,14.2 Marla,3200 Square Feet House In G-11/1,90000000.0,14.2,G-11/1,G-11,6338028.17
islamabad,4.85 Crore,"Bani Gala, Islamabad",5.0,6.0,10 Marla,"Modern Spacious House For Sale In Bani Gala, Islamabad Ready To Move",48500000.0,10.0,Bani Gala,Islamabad,4850000.0
islamabad,2.95 Crore,"Soan Garden - Block H Extension, Soan Garden",5.0,6.0,6.7 Marla,6 MARLA DOUBLE Storey NEW HOUSE FOR SALE,29500000.0,6.7,Soan Garden - Block H Extension,Soan Garden,4402985.07
islamabad,2.75 Crore,"Soan Garden, Islamabad",2.0,3.0,10 Marla,10 MARLA SINGLE STOREY HOUSE FOR SALE IN SOAN GARDEN HOUSING SOCIETY ISLAMABAD,27500000.0,10.0,Soan Garden,Islamabad,2750000.0
islamabad,6 Crore,"G-15/1, G-15",6.0,6.0,14.2 Marla,House Available For Sale In G-15/1,60000000.0,14.2,G-15/1,G-15,4225352.11
islamabad,3.65 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5.0,6.0,8 Marla,Brand New Double Story LOP Clear House For Sale Jinnah Garden Islamabad,36500000.0,8.0,Jinnah Gardens Phase 1,Jinnah Gardens,4562500.0
islamabad,18 Crore,"E-11, Islamabad",9.0,6.0,1.1 Kanal,Brand New House Available For Sale On Extremely Prime Location With Closed End Street,180000000.0,22.0,E-11,Islamabad,8181818.18
islamabad,7.75 Crore,"DHA Defence Phase 2, DHA Defence",5.0,5.0,10 Marla,beautiful designer brand new house available for sale,77500000.0,10.0,DHA Defence Phase 2,DHA Defence,7750000.0
islamabad,1.3 Crore,"Luxus Mall and Residency, Gulberg Greens - Block B",1.0,1.0,3.4 Marla,1 bed apartment for sale in luxus Mall,13000000.0,3.4,Luxus Mall and Residency,Gulberg Greens - Block B,3823529.41
islamabad,2.7 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3.0,4.0,5 Marla,5 Marla Brand new most elegant house for sale,27000000.0,5.0,Bahria Enclave - Sector H,Bahria Enclave,5400000.0
islamabad,10.9 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Dha 2 One Kanal Brand New Designer House,109000000.0,20.0,DHA Defence Phase 2,DHA Defence,5450000.0
islamabad,12.9 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Dha2 One Kanal Brand New Luxurious Designer House,129000000.0,20.0,DHA Defence Phase 2,DHA Defence,6450000.0
islamabad,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Dha2 One Kanal Brand New Luxurious Designer House,119000000.0,20.0,DHA Defence Phase 2,DHA Defence,5950000.0
islamabad,4.3 Crore,"Mumtaz City, Islamabad",6.0,6.0,9 Marla,Double Road Elegance with Easy Access & Open Views,43000000.0,9.0,Mumtaz City,Islamabad,4777777.78
