city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
islamabad,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Brand New Designer Bungalow At Prime Location,119000000.0,20.0,DHA Defence Phase 2,DHA Defence,5950000.0
islamabad,15.5 Crore,"DHA Defence Phase 2, DHA Defence",6.0,6.0,1 Kanal,Brand new designer 6 bed with swimming pool A+ Quality Solid Construction Mansion,155000000.0,20.0,DHA Defence Phase 2,DHA Defence,7750000.0
islamabad,4.2 Crore,"D-17, Islamabad",6.0,6.0,10.7 Marla,30x80 Brand New House Is Available For Sale In D-17 Islamabad,42000000.0,10.7,D-17,Islamabad,3925233.64
islamabad,13.5 Crore,"D-17, Islamabad",10.0,6.0,5 Kanal,5 Kanal Farm House For Sale In D-17 Islamabad,135000000.0,100.0,D-17,Islamabad,1350000.0
islamabad,52 Lakh,"D-17, Islamabad",2.0,2.0,3.8 Marla,2 Bed Flat For Sale In D-17/2 Islamabad,5200000.0,3.8,D-17,Islamabad,1368421.05
islamabad,6.6 Crore,"DHA Phase 3 - Block B, DHA Defence Phase 3",5.0,6.0,1 Kanal,Get Your Own One Kanal House in DHA ISLAMABAD,66000000.0,20.0,DHA Phase 3 - Block B,DHA Defence Phase 3,3300000.0
islamabad,80 Lakh,"B-17, Islamabad",2.0,2.0,3.8 Marla,2bed Flat Main Markaz 2 Bed Flat Available For Sale Multi Tarcefer,8000000.0,3.8,B-17,Islamabad,2105263.16
islamabad,6.85 Crore,"G-13, Islamabad",5.0,6.0,8 Marla,"G-13 , Brand New Size 200Yd Architect Design Double Storey House 5 Master Bedrooms Attached Stylish 6 Bathrooms 2 D/D 2 Tv Lounge, American Style Kitchen, SQTR Reasonable Price",68500000.0,8.0,G-13,Islamabad,8562500.0
islamabad,4.45 Crore,"G-13, Islamabad",4.0,4.0,4 Marla,G-13 25x40 Modern Elevated House Available At Reasonable Price,44500000.0,4.0,G-13,Islamabad,11125000.0
islamabad,6.15 Crore,"G-13, Islamabad",6.0,6.0,7 Marla,G-13 30x60 Corner House Available With Solar 10 KVA,61500000.0,7.0,G-13,Islamabad,8785714.29
islamabad,4.85 Crore,"Top City 1 - Block D, Top City 1",4.0,6.0,10 Marla,Designer 10 Marla Modern House In TOP CITY-1 Block D,48500000.0,10.0,Top City 1 - Block D,Top City 1,4850000.0
islamabad,2.68 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3.0,3.0,10 Marla,Askari Tower 4 Flat For Sale,26800000.0,10.0,Askari Heights 4,DHA Phase 5 - Sector H,2680000.0
islamabad,2.7 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3.0,3.0,10 Marla,Askari Flat For Sale,27000000.0,10.0,Askari Heights 4,DHA Phase 5 - Sector H,2700000.0
islamabad,2.8 Crore,"Askari Heights 5, DHA Defence Phase 5",4.0,4.0,12 Marla,Askari Heights 5 Flat For Sale,28000000.0,12.0,Askari Heights 5,DHA Defence Phase 5,2333333.33
islamabad,10.5 Crore,"F-10, Islamabad",2.0,3.0,7.6 Marla,Prime Location And Fully Modern Style Apartment Available For Sale,105000000.0,7.6,F-10,Islamabad,13815789.47
islamabad,7.3 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,10 Marla,10 Marla Brand New 5 Bed Double Unit 10 Kv Solar House For Sale Dha Phase 2 Islamabad,73000000.0,10.0,DHA Defence Phase 2,DHA Defence,7300000.0
islamabad,5.2 Crore,"D-12, Islamabad",4.0,4.0,4 Marla,Ideal 4 Marla House Has Landed On Market In D-12,52000000.0,4.0,D-12,Islamabad,13000000.0
islamabad,1.75 Crore,"Soan Garden, Islamabad",5.0,4.0,3 Marla,Corner House For Sale,17500000.0,3.0,Soan Garden,Islamabad,5833333.33
islamabad,18 Crore,"DHA Defence Phase 5, DHA Defence",7.0,6.0,2 Kanal,RAK PROPERTIES OFFERS FULLY FURNISHED 40 MARLA SINGLE UNIT HOUSE.,180000000.0,40.0,DHA Defence Phase 5,DHA Defence,4500000.0
islamabad,4 Crore,"DHA Phase 5 - Sector F, DHA Defence Phase 5",4.0,5.0,5 Marla,"5 MARLA SINGLE UNIT HOUSE FOR SALE IN DHA PHASE 5, ISLAMABAD 4.20 CRORES DEMAND",40000000.0,5.0,DHA Phase 5 - Sector F,DHA Defence Phase 5,8000000.0
islamabad,4 Crore,"Pakistan Town, Islamabad",6.0,6.0,1 Kanal,Pakistan Town Beautiful Kanal Bungalow 50x90,40000000.0,20.0,Pakistan Town,Islamabad,2000000.0
islamabad,90 Lakh,"E-11/3, E-11",1.0,1.0,3.1 Marla,E-11/3 Multi Professional Studio Apartment Furnished,9000000.0,3.1,E-11/3,E-11,2903225.81
islamabad,2.95 Crore,"F-10 Markaz, F-10",3.0,3.0,7.4 Marla,Al-Mustafa Tower 3 Beds Apartment For Sale,29500000.0,7.4,F-10 Markaz,F-10,3986486.49
